"Timepoint","c_Viruses","Replicate","Station_Number","Sample_Type","Location","Depth"
2,3.42298328144111,1,2,"VP",1,1
2,4.64053534485775,2,2,"VP",1,1
2,3.45140486538317,3,2,"VP",1,1
2,4.24498524800675,4,2,"VPC",1,1
2,2.77246722544815,5,2,"VPC",1,1
2,3.14096861027756,6,2,"VPC",1,1
3,3.98205819370267,1,2,"VP",1,1
3,3.42214741278362,2,2,"VP",1,1
3,5.91414191899582,3,2,"VP",1,1
3,2.88969209198486,4,2,"VPC",1,1
3,4.70648741472232,5,2,"VPC",1,1
3,3.97560827703714,6,2,"VPC",1,1
4,5.40439477228625,1,2,"VP",1,1
4,4.5078604985957,2,2,"VP",1,1
4,4.57496184660247,3,2,"VP",1,1
4,3.55514251706001,4,2,"VPC",1,1
4,3.5042694702366,5,2,"VPC",1,1
4,5.41529459990343,6,2,"VPC",1,1
5,2.74727866893459,1,2,"VP",1,1
5,5.19602435962184,2,2,"VP",1,1
5,2.80042385617644,3,2,"VP",1,1
5,4.89977140319283,4,2,"VPC",1,1
5,2.79992362790357,5,2,"VPC",1,1
5,3.17792803240146,6,2,"VPC",1,1
6,4.13788988445989,1,2,"VP",1,1
6,2.94703136923938,2,2,"VP",1,1
6,3.69330989827714,3,2,"VP",1,1
6,3.10504060889388,4,2,"VPC",1,1
6,4.85710756441062,5,2,"VPC",1,1
6,2.58649853961122,6,2,"VPC",1,1
1,3.92502689193156,1,3,"VP",1,1
1,3.24768672904174,2,3,"VP",1,1
1,3.51388053131821,3,3,"VP",1,1
1,2.92508446610603,4,3,"VPC",1,1
1,2.47859264367813,5,3,"VPC",1,1
1,2.41532503974728,6,3,"VPC",1,1
2,3.22341662129798,1,3,"VP",1,1
2,2.24289933651377,2,3,"VP",1,1
2,3.59708289095969,3,3,"VP",1,1
2,2.95155099277223,4,3,"VPC",1,1
2,4.46658870590168,5,3,"VPC",1,1
2,2.90825081008633,6,3,"VPC",1,1
3,4.30941262780483,1,3,"VP",1,1
3,2.55349139257542,2,3,"VP",1,1
3,2.61414624204341,3,3,"VP",1,1
3,3.11576897728881,4,3,"VPC",1,1
3,4.51514862336426,5,3,"VPC",1,1
3,3.13777124697244,6,3,"VPC",1,1
4,2.49693438932811,1,3,"VP",1,1
4,4.64305397123517,2,3,"VP",1,1
4,2.56832445334587,3,3,"VP",1,1
4,5.45612941786847,4,3,"VPC",1,1
4,2.18323747539324,5,3,"VPC",1,1
4,3.71717709639822,6,3,"VPC",1,1
5,4.20904083752794,1,3,"VP",1,1
5,3.21965175396955,2,3,"VP",1,1
5,3.76628748203831,3,3,"VP",1,1
5,4.205109897289,4,3,"VPC",1,1
5,2.64747698535729,5,3,"VPC",1,1
5,3.44196358372782,6,3,"VPC",1,1
6,2.17619163602393,1,3,"VP",1,1
6,2.88225375443859,2,3,"VP",1,1
6,3.12088958622815,3,3,"VP",1,1
6,3.85425266297432,4,3,"VPC",1,1
6,2.99041028780056,5,3,"VPC",1,1
6,4.14341797332338,6,3,"VPC",1,1
1,2.51140783884384,1,4,"VP",1,1
1,4.15075482303015,2,4,"VP",1,1
1,4.19697418776723,3,4,"VP",1,1
1,3.35763648732523,4,4,"VPC",1,1
1,4.18558421681265,5,4,"VPC",1,1
1,4.94810373185829,6,4,"VPC",1,1
2,3.05037233456869,1,4,"VP",1,1
2,5.09897623431494,2,4,"VP",1,1
2,3.12698354469419,3,4,"VP",1,1
2,3.54570047909647,4,4,"VPC",1,1
2,3.34997742441189,5,4,"VPC",1,1
2,5.716852418984,6,4,"VPC",1,1
3,3.84188454678257,1,4,"VP",1,1
3,2.80532152052979,2,4,"VP",1,1
3,4.66709279967843,3,4,"VP",1,1
3,2.8612071131564,4,4,"VPC",1,1
3,5.7967510918283,5,4,"VPC",1,1
3,3.21164050943445,6,4,"VPC",1,1
4,3.58739112722733,1,4,"VP",1,1
4,2.29519686433411,2,4,"VP",1,1
4,3.27953589428866,3,4,"VP",1,1
4,3.22002655852279,4,4,"VPC",1,1
4,3.192714492179,5,4,"VPC",1,1
4,3.02685271713652,6,4,"VPC",1,1
5,2.68307639020336,1,4,"VP",1,1
5,4.1169727689065,2,4,"VP",1,1
5,2.98059526261964,3,4,"VP",1,1
5,4.27276328189479,4,4,"VPC",1,1
5,2.94040450336662,5,4,"VPC",1,1
5,2.45946585836629,6,4,"VPC",1,1
6,5.42319815608,1,4,"VP",1,1
6,3.81349102421876,2,4,"VP",1,1
6,3.08104428231942,3,4,"VP",1,1
6,3.96431134831407,4,4,"VPC",1,1
6,5.30092426762017,5,4,"VPC",1,1
6,2.58773991478642,6,4,"VPC",1,1
1,3.3402099592055,1,5,"VP",1,1
1,3.79767577708157,2,5,"VP",1,1
1,4.5285115294861,3,5,"VP",1,1
1,5.99110444895901,4,5,"VPC",1,1
1,3.3597456030875,5,5,"VPC",1,1
1,5.11701338571084,6,5,"VPC",1,1
2,2.89594642640242,1,5,"VP",1,1
2,4.09657642946498,2,5,"VP",1,1
2,3.15419868579442,3,5,"VP",1,1
2,4.09547646765369,4,5,"VPC",1,1
2,3.3095339427096,5,5,"VPC",1,1
2,2.89274959848411,6,5,"VPC",1,1
3,3.79227166925785,1,5,"VP",1,1
3,4.81711168715758,2,5,"VP",1,1
3,3.57534239840217,3,5,"VP",1,1
3,2.97481585669518,4,5,"VPC",1,1
3,2.45280395445188,5,5,"VPC",1,1
3,4.82929590010298,6,5,"VPC",1,1
4,2.71224309578554,1,5,"VP",1,1
4,3.13715075610948,2,5,"VP",1,1
4,2.80999808356152,3,5,"VP",1,1
4,4.2681959806203,4,5,"VPC",1,1
4,2.31769923505344,5,5,"VPC",1,1
4,3.90904870013961,6,5,"VPC",1,1
5,2.27758680108002,1,5,"VP",1,1
5,5.24446381015241,2,5,"VP",1,1
5,2.33660197186781,3,5,"VP",1,1
5,2.90119842999642,4,5,"VPC",1,1
5,2.33642146398812,5,5,"VPC",1,1
5,5.45549340702159,6,5,"VPC",1,1
6,3.1011347562021,1,5,"VP",1,1
6,2.29999558429073,2,5,"VP",1,1
6,2.91777648449699,3,5,"VP",1,1
6,2.60062357983963,4,5,"VPC",1,1
6,2.46998054171553,5,5,"VPC",1,1
6,2.41414263009666,6,5,"VPC",1,1
1,2.59725097090414,1,6,"VP",1,1
1,2.67005987485768,2,6,"VP",1,1
1,2.4192360050867,3,6,"VP",1,1
1,2.77050187444519,4,6,"VPC",1,1
1,2.65096783281551,5,6,"VPC",1,1
1,2.86527467824621,6,6,"VPC",1,1
2,2.6214826671695,1,6,"VP",1,1
2,2.21221311723076,2,6,"VP",1,1
2,2.43131397487337,3,6,"VP",1,1
2,2.20430385382204,4,6,"VPC",1,1
2,2.26416919453418,5,6,"VPC",1,1
2,2.20565223802717,6,6,"VPC",1,1
3,3.66987853319083,1,6,"VP",1,1
3,2.76091987222203,2,6,"VP",1,1
3,2.6259806921753,3,6,"VP",1,1
3,2.90443207298207,4,6,"VPC",1,1
3,4.00623081162745,5,6,"VPC",1,1
3,2.70901383758555,6,6,"VPC",1,1
4,2.9341285659612,1,6,"VP",1,1
4,2.99275860958887,2,6,"VP",1,1
4,3.31032664640195,3,6,"VP",1,1
4,2.92302413634058,4,6,"VPC",1,1
4,2.47960662988736,5,6,"VPC",1,1
4,2.26483470667274,6,6,"VPC",1,1
5,3.09855105828978,1,6,"VP",1,1
5,2.4673832573991,2,6,"VP",1,1
5,3.01382896870909,3,6,"VP",1,1
5,2.28699893972987,4,6,"VPC",1,1
5,2.95364324375937,5,6,"VPC",1,1
5,2.42319490227397,6,6,"VPC",1,1
6,5.16850490832654,1,6,"VP",1,1
6,4.0402000705283,2,6,"VP",1,1
6,3.16731562325936,3,6,"VP",1,1
6,4.52258912849674,4,6,"VPC",1,1
6,4.89154376449742,5,6,"VPC",1,1
6,5.72242014723704,6,6,"VPC",1,1
1,2.93387533317231,1,7,"VP",1,1
1,3.02731988036496,2,7,"VP",1,1
1,3.86387366332881,3,7,"VP",1,1
1,3.62559487996697,4,7,"VPC",1,1
1,3.61942146447412,5,7,"VPC",1,1
1,3.48556719308371,6,7,"VPC",1,1
2,4.6956586104908,1,7,"VP",1,1
2,3.55990735886553,2,7,"VP",1,1
2,3.84325978070843,3,7,"VP",1,1
2,2.52693911662456,4,7,"VPC",1,1
2,3.15155057587288,5,7,"VPC",1,1
2,3.39576939265979,6,7,"VPC",1,1
3,2.94569979884822,1,7,"VP",1,1
3,3.66264673073127,2,7,"VP",1,1
3,4.28364504490702,3,7,"VP",1,1
3,2.91768433984332,4,7,"VPC",1,1
3,4.48435269166598,5,7,"VPC",1,1
3,3.01087445011682,6,7,"VPC",1,1
4,3.08957043693715,1,7,"VP",1,1
4,2.93751208272088,2,7,"VP",1,1
4,3.21230815149951,3,7,"VP",1,1
4,2.69950140281832,4,7,"VPC",1,1
4,2.53584025405141,5,7,"VPC",1,1
4,2.43237638875847,6,7,"VPC",1,1
5,3.56352479022025,1,7,"VP",1,1
5,3.75087495404171,2,7,"VP",1,1
5,4.34474554247322,3,7,"VP",1,1
5,4.04461143704875,4,7,"VPC",1,1
5,3.75304085269641,5,7,"VPC",1,1
5,3.03425301102859,6,7,"VPC",1,1
6,5.32586173093601,1,7,"VP",1,1
6,2.54299509222729,2,7,"VP",1,1
6,3.12699052233994,3,7,"VP",1,1
6,3.51199828459132,4,7,"VPC",1,1
6,4.96059516282661,5,7,"VPC",1,1
6,3.06615533910764,6,7,"VPC",1,1
1,4.49901227213898,1,8,"VP",1,1
1,3.40214647092444,2,8,"VP",1,1
1,2.99033690441708,3,8,"VP",1,1
1,3.59579573276578,4,8,"VPC",1,1
1,4.98328827825207,5,8,"VPC",1,1
1,2.91195721074545,6,8,"VPC",1,1
2,2.78431009227714,1,8,"VP",1,1
2,3.45052681245987,2,8,"VP",1,1
2,2.60190672651251,3,8,"VP",1,1
2,2.77476550207749,4,8,"VPC",1,1
2,2.61110538864494,5,8,"VPC",1,1
2,3.05444050487001,6,8,"VPC",1,1
3,2.07742093556336,1,8,"VP",1,1
3,2.7032486559855,2,8,"VP",1,1
3,4.07950921455744,3,8,"VP",1,1
3,3.35169711344639,4,8,"VPC",1,1
3,4.08607584809075,5,8,"VPC",1,1
3,3.54004319029942,6,8,"VPC",1,1
4,2.71121003309804,1,8,"VP",1,1
4,5.06741995196888,2,8,"VP",1,1
4,2.2054348516128,3,8,"VP",1,1
4,5.38246063991784,4,8,"VPC",1,1
4,2.78239707529516,5,8,"VPC",1,1
4,2.99776824881558,6,8,"VPC",1,1
5,2.77254288752161,1,8,"VP",1,1
5,3.10322330206862,2,8,"VP",1,1
5,2.15878822268971,3,8,"VP",1,1
5,4.36037033984137,4,8,"VPC",1,1
5,2.85793732970604,5,8,"VPC",1,1
5,4.76544307745922,6,8,"VPC",1,1
6,3.06199525391767,1,8,"VP",1,1
6,2.61379856600925,2,8,"VP",1,1
6,2.80775398995554,3,8,"VP",1,1
6,2.58553619094158,4,8,"VPC",1,1
6,3.37564848227338,5,8,"VPC",1,1
6,3.15194582521448,6,8,"VPC",1,1
1,3.2785875884561,1,9,"VP",1,1
1,2.82282527963568,2,9,"VP",1,1
1,3.03145503107647,3,9,"VP",1,1
1,2.87936197893896,4,9,"VPC",1,1
1,2.60792172228041,5,9,"VPC",1,1
1,2.668705058175,6,9,"VPC",1,1
2,3.03128506820579,1,9,"VP",1,1
2,4.39409113146937,2,9,"VP",1,1
2,4.66063454775713,3,9,"VP",1,1
2,3.83432241979689,4,9,"VPC",1,1
2,3.875679897244,5,9,"VPC",1,1
2,2.84876417134827,6,9,"VPC",1,1
3,3.89727526603884,1,9,"VP",1,1
3,2.44496306155286,2,9,"VP",1,1
3,3.75977540113384,3,9,"VP",1,1
3,2.56518047166397,4,9,"VPC",1,1
3,2.66887386584919,5,9,"VPC",1,1
3,2.15267768428591,6,9,"VPC",1,1
4,5.52774094821124,1,9,"VP",1,1
4,4.36615373155089,2,9,"VP",1,1
4,4.11607207144384,3,9,"VP",1,1
4,2.5945915485423,4,9,"VPC",1,1
4,3.97922428615788,5,9,"VPC",1,1
4,4.21113382020319,6,9,"VPC",1,1
5,2.77015223610113,1,9,"VP",1,1
5,3.13826728126118,2,9,"VP",1,1
5,4.75481065193555,3,9,"VP",1,1
5,3.54982989868863,4,9,"VPC",1,1
5,4.77025636512117,5,9,"VPC",1,1
5,3.33533717647825,6,9,"VPC",1,1
6,3.69339176192088,1,9,"VP",1,1
6,3.95444883850991,2,9,"VP",1,1
6,2.96603532417886,3,9,"VP",1,1
6,3.68594477074203,4,9,"VPC",1,1
6,3.88456792754469,5,9,"VPC",1,1
6,2.81350546910102,6,9,"VPC",1,1
1,2.66676673611381,1,10,"VP",1,1
1,3.73955578166072,2,10,"VP",1,1
1,2.78573976459481,3,10,"VP",1,1
1,3.61597858600416,4,10,"VPC",1,1
1,2.41908254531025,5,10,"VPC",1,1
1,2.3663285469814,6,10,"VPC",1,1
2,2.26657041205951,1,10,"VP",1,1
2,2.54443434699735,2,10,"VP",1,1
2,2.23842837673704,3,10,"VP",1,1
2,4.60460875706559,4,10,"VPC",1,1
2,2.37127098846268,5,10,"VPC",1,1
2,4.45326582884862,6,10,"VPC",1,1
3,4.86331206825451,1,10,"VP",1,1
3,2.45372553581909,2,10,"VP",1,1
3,4.3088131720103,3,10,"VP",1,1
3,3.44914245862227,4,10,"VPC",1,1
3,3.35115389061091,5,10,"VPC",1,1
3,3.4184485604811,6,10,"VPC",1,1
4,2.81083171553682,1,10,"VP",1,1
4,2.95047688460985,2,10,"VP",1,1
4,3.11946436811185,3,10,"VP",1,1
4,3.58474206301923,4,10,"VPC",1,1
4,3.64777548584805,5,10,"VPC",1,1
4,3.17601014703044,6,10,"VPC",1,1
5,2.97783000729758,1,10,"VP",1,1
5,2.54090592707616,2,10,"VP",1,1
5,2.79680836307279,3,10,"VP",1,1
5,3.37611845462045,4,10,"VPC",1,1
5,2.9708898041429,5,10,"VPC",1,1
5,3.37720050127748,6,10,"VPC",1,1
6,2.6436955455243,1,10,"VP",1,1
6,3.29139673287266,2,10,"VP",1,1
6,2.64856357222358,3,10,"VP",1,1
6,2.65957773837806,4,10,"VPC",1,1
6,2.56362872441986,5,10,"VPC",1,1
6,3.29682764512318,6,10,"VPC",1,1
1,2.217650053289,1,11,"VP",1,1
1,3.02765102609197,2,11,"VP",1,1
1,2.28208006028618,3,11,"VP",1,1
1,5.00919833209424,4,11,"VPC",1,1
1,2.28708198867546,5,11,"VPC",1,1
1,4.5658789595488,6,11,"VPC",1,1
2,3.10397747085121,1,11,"VP",1,1
2,2.62671272238633,2,11,"VP",1,1
2,2.89332269448284,3,11,"VP",1,1
2,2.3671663446733,4,11,"VPC",1,1
2,2.79404235404179,5,11,"VPC",1,1
2,2.31714122650976,6,11,"VPC",1,1
3,2.44951479420008,1,11,"VP",1,1
3,2.58192199893195,2,11,"VP",1,1
3,2.21741429187253,3,11,"VP",1,1
3,2.79272865378135,4,11,"VPC",1,1
3,2.31656152379745,5,11,"VPC",1,1
3,2.91152751092535,6,11,"VPC",1,1
4,2.60011188872837,1,11,"VP",1,1
4,3.58795463048292,2,11,"VP",1,1
4,2.96055815490321,3,11,"VP",1,1
4,3.86334818561289,4,11,"VPC",1,1
4,2.94680836498418,5,11,"VPC",1,1
4,4.79076554852636,6,11,"VPC",1,1
5,3.04220441683823,1,11,"VP",1,1
5,4.51766501404396,2,11,"VP",1,1
5,3.03495728537528,3,11,"VP",1,1
5,5.21321855175427,4,11,"VPC",1,1
5,2.47093999330494,5,11,"VPC",1,1
5,3.43395276090197,6,11,"VPC",1,1
6,2.46973314691191,1,11,"VP",1,1
6,2.7422180584956,2,11,"VP",1,1
6,2.33770516734907,3,11,"VP",1,1
6,2.45857325378712,4,11,"VPC",1,1
6,2.30887714502852,5,11,"VPC",1,1
6,2.37320428968016,6,11,"VPC",1,1
1,4.28942141862892,1,12,"VP",1,1
1,3.02745326840207,2,12,"VP",1,1
1,4.3668790431381,3,12,"VP",1,1
1,2.79942702554888,4,12,"VPC",1,1
1,5.72907104404621,5,12,"VPC",1,1
1,2.66433695114316,6,12,"VPC",1,1
2,3.10183761887579,1,12,"VP",1,1
2,2.37548465127499,2,12,"VP",1,1
2,4.16461061941572,3,12,"VP",1,1
2,2.41087245500206,4,12,"VPC",1,1
2,3.91033494155639,5,12,"VPC",1,1
2,2.47640148909696,6,12,"VPC",1,1
3,5.39468444546239,1,12,"VP",1,1
3,2.94552803070798,2,12,"VP",1,1
3,4.82394597333081,3,12,"VP",1,1
3,2.82090431548872,4,12,"VPC",1,1
3,3.4916842787932,5,12,"VPC",1,1
3,3.1930724625735,6,12,"VPC",1,1
4,3.65985551899322,1,12,"VP",1,1
4,3.70935953944972,2,12,"VP",1,1
4,3.23182869350648,3,12,"VP",1,1
4,3.56580950275787,4,12,"VPC",1,1
4,3.2073613687596,5,12,"VPC",1,1
4,2.93998250130823,6,12,"VPC",1,1
5,3.84723696578862,1,12,"VP",1,1
5,2.86196530371303,2,12,"VP",1,1
5,3.66140728379489,3,12,"VP",1,1
5,4.38439967934369,4,12,"VPC",1,1
5,2.64069720958106,5,12,"VPC",1,1
5,3.70081074154933,6,12,"VPC",1,1
6,2.92791014571653,1,12,"VP",1,1
6,2.52649403141192,2,12,"VP",1,1
6,4.04957770336424,3,12,"VP",1,1
6,2.23364525213493,4,12,"VPC",1,1
6,4.15250006970933,5,12,"VPC",1,1
6,2.37346529440679,6,12,"VPC",1,1
1,2.08713809655594,1,13,"VP",1,1
1,2.32888026078601,2,13,"VP",1,1
1,2.13412864855598,3,13,"VP",1,1
1,2.98223408396424,4,13,"VPC",1,1
1,2.07737542247892,5,13,"VPC",1,1
1,2.86083021929186,6,13,"VPC",1,1
2,3.39332060047021,1,13,"VP",1,1
2,2.63222959848213,2,13,"VP",1,1
2,4.20564048820502,3,13,"VP",1,1
2,2.60868171804375,4,13,"VPC",1,1
2,3.52515420543762,5,13,"VPC",1,1
2,2.04883040473167,6,13,"VPC",1,1
3,4.4400065741259,1,13,"VP",1,1
3,3.4439368003558,2,13,"VP",1,1
3,4.38854325129477,3,13,"VP",1,1
3,2.58674030711186,4,13,"VPC",1,1
3,2.97775790246744,5,13,"VPC",1,1
3,3.58199967427865,6,13,"VPC",1,1
4,2.89820100080762,1,13,"VP",1,1
4,3.31471637919792,2,13,"VP",1,1
4,2.78018471504376,3,13,"VP",1,1
4,2.95837163404308,4,13,"VPC",1,1
4,2.95433047848177,5,13,"VPC",1,1
4,4.129706382472,6,13,"VPC",1,1
5,3.77624151871534,1,13,"VP",1,1
5,2.88811324817053,2,13,"VP",1,1
5,3.60344960624082,3,13,"VP",1,1
5,3.42537423601187,4,13,"VPC",1,1
5,2.92459156203348,5,13,"VPC",1,1
5,3.47311126167624,6,13,"VPC",1,1
6,2.17475947337874,1,13,"VP",1,1
6,5.70212007851163,2,13,"VP",1,1
6,2.1760303802451,3,13,"VP",1,1
6,4.30548623235614,4,13,"VPC",1,1
6,2.0474154957168,5,13,"VPC",1,1
6,4.06527744460025,6,13,"VPC",1,1
1,4.40223114480696,1,14,"VP",1,1
1,3.09784920786744,2,14,"VP",1,1
1,3.78238028704072,3,14,"VP",1,1
1,3.60780560047986,4,14,"VPC",1,1
1,2.98536749614951,5,14,"VPC",1,1
1,3.20082822410773,6,14,"VPC",1,1
2,4.47615049225953,1,14,"VP",1,1
2,4.1979410480886,2,14,"VP",1,1
2,3.27501569721204,3,14,"VP",1,1
2,3.30841328111821,4,14,"VPC",1,1
2,4.14183481336027,5,14,"VPC",1,1
2,3.63962921291165,6,14,"VPC",1,1
3,3.075931192645,1,14,"VP",1,1
3,3.84065861780197,2,14,"VP",1,1
3,3.38037467401203,3,14,"VP",1,1
3,2.13771190997433,4,14,"VPC",1,1
3,2.3339266227446,5,14,"VPC",1,1
3,3.80606973659028,6,14,"VPC",1,1
4,2.5488736407257,1,14,"VP",1,1
4,2.68005445779282,2,14,"VP",1,1
4,2.59859919367427,3,14,"VP",1,1
4,2.69497167212128,4,14,"VPC",1,1
4,2.88611371251668,5,14,"VPC",1,1
4,2.43530852549899,6,14,"VPC",1,1
5,2.54709413164958,1,14,"VP",1,1
5,2.84106464072069,2,14,"VP",1,1
5,2.56590942344861,3,14,"VP",1,1
5,2.76521466264646,4,14,"VPC",1,1
5,2.56352655355389,5,14,"VPC",1,1
5,2.80458826111423,6,14,"VPC",1,1
6,2.99565029805084,1,14,"VP",1,1
6,3.63735722823309,2,14,"VP",1,1
6,2.97487163799904,3,14,"VP",1,1
6,3.21036293935476,4,14,"VPC",1,1
6,2.74590049553131,5,14,"VPC",1,1
6,2.96151028860156,6,14,"VPC",1,1
1,2.6325723711438,1,15,"VP",1,1
1,2.51209496358391,2,15,"VP",1,1
1,3.14853394961347,3,15,"VP",1,1
1,2.5882590974805,4,15,"VPC",1,1
1,3.69504373901322,5,15,"VPC",1,1
1,2.59767654381982,6,15,"VPC",1,1
2,3.79977470436983,1,15,"VP",1,1
2,2.91220463333391,2,15,"VP",1,1
2,2.38715920490579,3,15,"VP",1,1
2,3.0848809199256,4,15,"VPC",1,1
2,4.14657427180843,5,15,"VPC",1,1
2,3.34654802283358,6,15,"VPC",1,1
3,4.32337248187936,1,15,"VP",1,1
3,3.78999884984233,2,15,"VP",1,1
3,4.1288522515149,3,15,"VP",1,1
3,2.84311411002464,4,15,"VPC",1,1
3,2.84747471237223,5,15,"VPC",1,1
3,3.94577666844762,6,15,"VPC",1,1
4,2.47043452063101,1,15,"VP",1,1
4,3.7637466546564,2,15,"VP",1,1
4,3.00198601206391,3,15,"VP",1,1
4,3.7871762679083,4,15,"VPC",1,1
4,3.21705458310516,5,15,"VPC",1,1
4,2.76296608608096,6,15,"VPC",1,1
5,4.10404889927087,1,15,"VP",1,1
5,2.95490017812781,2,15,"VP",1,1
5,4.91960967667217,3,15,"VP",1,1
5,2.89423196953482,4,15,"VPC",1,1
5,3.49480331708652,5,15,"VPC",1,1
5,2.92184408004717,6,15,"VPC",1,1
6,2.55134591909617,1,15,"VP",1,1
6,3.93016212298959,2,15,"VP",1,1
6,2.93149833705633,3,15,"VP",1,1
6,2.31210003597215,4,15,"VPC",1,1
6,2.82703819513186,5,15,"VPC",1,1
6,3.96331956791669,6,15,"VPC",1,1
1,4.28096975375419,1,16,"VP",1,1
1,2.38770191139439,2,16,"VP",1,1
1,5.94313351390839,3,16,"VP",1,1
1,2.20463262452833,4,16,"VPC",1,1
1,4.43722712911169,5,16,"VPC",1,1
1,2.28284395532491,6,16,"VPC",1,1
2,3.51378895073386,1,16,"VP",1,1
2,2.98770679440873,2,16,"VP",1,1
2,4.4858712528622,3,16,"VP",1,1
2,3.97837385726411,4,16,"VPC",1,1
2,3.76924692901354,5,16,"VPC",1,1
2,4.18405834218329,6,16,"VPC",1,1
3,2.24571734654435,1,16,"VP",1,1
3,2.71264417147419,2,16,"VP",1,1
3,2.55286706415707,3,16,"VP",1,1
3,3.36678517945552,4,16,"VPC",1,1
3,2.52018293461815,5,16,"VPC",1,1
3,3.70533958323897,6,16,"VPC",1,1
4,3.78331454145417,1,16,"VP",1,1
4,2.37669629992614,2,16,"VP",1,1
4,2.82980163974382,3,16,"VP",1,1
4,2.19959377236985,4,16,"VPC",1,1
4,3.43422473528423,5,16,"VPC",1,1
4,2.41541795491259,6,16,"VPC",1,1
5,2.86882672741423,1,16,"VP",1,1
5,2.28901253763636,2,16,"VP",1,1
5,3.22253806039391,3,16,"VP",1,1
5,2.22876778492502,4,16,"VPC",1,1
5,3.23754342171409,5,16,"VPC",1,1
5,2.14285462946883,6,16,"VPC",1,1
6,2.32746003359404,1,16,"VP",1,1
6,2.95782710970705,2,16,"VP",1,1
6,2.33337767173574,3,16,"VP",1,1
6,2.83793784811933,4,16,"VPC",1,1
6,2.46487808980865,5,16,"VPC",1,1
6,2.41168079377637,6,16,"VPC",1,1
1,3.73196975489552,1,17,"VP",1,1
1,2.95304386582781,2,17,"VP",1,1
1,4.73177306836629,3,17,"VP",1,1
1,3.10576981988874,4,17,"VPC",1,1
1,3.82951576467356,5,17,"VPC",1,1
1,2.86123352170504,6,17,"VPC",1,1
2,3.83623848765113,1,17,"VP",1,1
2,2.88020143441961,2,17,"VP",1,1
2,2.70200293793516,3,17,"VP",1,1
2,4.22389323511646,4,17,"VPC",1,1
2,3.28303966019086,5,17,"VPC",1,1
2,4.73410693377847,6,17,"VPC",1,1
3,3.52121552990632,1,17,"VP",1,1
3,3.49566063946864,2,17,"VP",1,1
3,4.07018360438834,3,17,"VP",1,1
3,3.26439002607521,4,17,"VPC",1,1
3,4.87412214457948,5,17,"VPC",1,1
3,4.03462373065154,6,17,"VPC",1,1
4,2.28650077662411,1,17,"VP",1,1
4,2.93971655769831,2,17,"VP",1,1
4,2.278596105196,3,17,"VP",1,1
4,2.94036684629198,4,17,"VPC",1,1
4,2.28891174064227,5,17,"VPC",1,1
4,2.96482737313272,6,17,"VPC",1,1
5,2.47563887045282,1,17,"VP",1,1
5,2.85086059977663,2,17,"VP",1,1
5,2.31462533862808,3,17,"VP",1,1
5,2.55276299002644,4,17,"VPC",1,1
5,2.30392895275744,5,17,"VPC",1,1
5,3.12249547454955,6,17,"VPC",1,1
6,2.88861594583664,1,17,"VP",1,1
6,2.84648912441645,2,17,"VP",1,1
6,3.1577514094926,3,17,"VP",1,1
6,3.07029260707304,4,17,"VPC",1,1
6,2.7943201222448,5,17,"VPC",1,1
6,3.21161469940973,6,17,"VPC",1,1
1,4.05956953902414,1,18,"VP",1,1
1,2.37476431406436,2,18,"VP",1,1
1,3.46725643921485,3,18,"VP",1,1
1,3.86424356808766,4,18,"VPC",1,1
1,4.93141240468706,5,18,"VPC",1,1
1,3.77411238269427,6,18,"VPC",1,1
2,3.51961737193341,1,18,"VP",1,1
